Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b08f3066b56f288bf1b67d3974e67b9b37a01ee69dcaa921eac53d2a248b6637,2021-05,Bedfordshire Police,Bedfordshire Police,-0.470685,52.141009,On or near BOSWELL PLACE,E01017502,Bedford 010F,Unable to prosecute suspect
17cd76e792cd3f74acf44f6b71d80627f3b1a4ed1956fc30e9d7c1bdc78e7f1e,2021-05,Bedfordshire Police,Bedfordshire Police,-0.496282,52.002655,On or near Supermarket,E01017405,Central Bedfordshire 016C,Investigation complete; no suspect identified
c09ec252f5450e9f602d23e20f82e15f75a8732958397864db90d2eca904d788,2021-05,Bedfordshire Police,Bedfordshire Police,-0.372832,51.888421,On or near Petrol Station,E01015808,Luton 014D,Investigation complete; no suspect identified
9c5731e07647c323ebec27ae17f145681c48b30637116e84d79e310b7cc92595,2021-05,Bedfordshire Police,Bedfordshire Police,-0.239526,52.144043,On or near POTTON ROAD,E01017427,Central Bedfordshire 003C,Investigation complete; no suspect identified
4a2f66be7f0a30f9a143bca9e093d7d4e2e167c389563793ac47c0a9633ce0fb,2021-05,Bedfordshire Police,Bedfordshire Police,-0.250509,52.092361,On or near STRATTON WAY,E01033811,Central Bedfordshire 006H,Unable to prosecute suspect
3f9a8113d25020f7f25ae414664082d8db3bfe4f381baa408adfcd05cd12e1c1,2021-05,Bedfordshire Police,Bedfordshire Police,-0.549276,52.060901,On or near CHURCH WALK,E01017418,Central Bedfordshire 009C,Action to be taken by another organisation
a5f28a5ce76160df4d9af26cdf091c0ecf97cdc147a06f0d438f7aee7f6ee2dc,2021-05,Bedfordshire Police,Bedfordshire Police,-0.460708,51.899755,On or near HUTTON CLOSE,E01015750,Luton 011F,Investigation complete; no suspect identified
a01bfa907aca5231a8624da129701920aacbe2bd2c4a0b1d1e9b5f5af8cd5479,2021-05,Bedfordshire Police,Bedfordshire Police,-0.407843,51.883757,On or near HARTLEY ROAD,E01015743,Luton 022E,Unable to prosecute suspect
40ae8991c5265e813f5c3733518519280d25710e1ead9df4dbed0f6a2d5b2695,2021-05,Bedfordshire Police,Bedfordshire Police,-0.427158,51.916090,On or near Petrol Station,E01015748,Luton 004D,Investigation complete; no suspect identified
908fa889ee65685bf83740625573fb87e949ca5a0e967e683d4293a56df3b8d6,2021-05,Bedfordshire Police,Bedfordshire Police,-0.431820,51.885356,On or near OAK ROAD,E01015725,Luton 017E,Investigation complete; no suspect identified
305d67da1eca27cf922e02758bc8d53b391594a789a507d7431bc9ecd618d6f7,2021-05,Bedfordshire Police,Bedfordshire Police,-0.416084,51.880380,On or near Shopping Area,E01033805,Luton 023C,Unable to prosecute suspect
a60eba821f4c22a93aa5ce9e1499f659f2d63b38542dab47c59b0beb6896175b,2021-05,Bedfordshire Police,Bedfordshire Police,-0.480694,52.251334,On or near Police Station,E01017541,Bedford 001B,Investigation complete; no suspect identified
4f2ce893f797f8217952fa5abb8281e268222bfe31638bbc43b95a9ad8be01ed,2021-05,Bedfordshire Police,Bedfordshire Police,-0.403902,51.872356,On or near Sports/Recreation Area,E01015790,Luton 021B,Investigation complete; no suspect identified
5023614b64d08cda97fc3d382f48dea0ffdc48de8270f6ae14f04b9a3a4a580b,2021-05,Bedfordshire Police,Bedfordshire Police,-0.527990,51.901983,On or near MILLERS WAY,E01017578,Central Bedfordshire 026A,Investigation complete; no suspect identified
47cdade176eb9f57e4cabe7a7007eebe4a128e866f195c42949ff14f1e9651ba,2021-05,Bedfordshire Police,Bedfordshire Police,-0.495602,52.121458,On or near FOSTER ROAD,E01017509,Bedford 016A,Unable to prosecute suspect
04276ff45f1e0095d93918f30be30ab8668d895e944a6eec16c4baf8812ff366,2021-05,Bedfordshire Police,Bedfordshire Police,-0.485821,52.145430,On or near Petrol Station,E01017499,Bedford 010C,Investigation complete; no suspect identified
1cf082641eed998a54f68faf266d726dc9b9ad77e729d55653dd4b967948f0c7,2021-05,Bedfordshire Police,Bedfordshire Police,-0.399422,51.902399,On or near TANCRED ROAD,E01015796,Luton 012F,Investigation complete; no suspect identified
40997d49a2ea646551e917973a278a10c66656322f571aa0a27dc10d88143384,2021-05,Bedfordshire Police,Bedfordshire Police,-0.455041,52.162357,On or near IRTHING CLOSE,E01017454,Bedford 005B,Unable to prosecute suspect
751630b847ff08192309f14215c4a09721e018ac26aed333aba8b54e7eed44f5,2021-05,Bedfordshire Police,Bedfordshire Police,-0.495030,52.133239,On or near Sports/Recreation Area,E01017537,Bedford 013C,Unable to prosecute suspect
93addc4b6924f161ef547c4d99721ffc7d7078491544336c849b704004f2e6c0,2021-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Investigation complete; no suspect identified
d7fb287a2d4317cd7b2cf50d6d2397eed59a0f7bf5f7dbfd6500934ca8112ac8,2021-05,Bedfordshire Police,Bedfordshire Police,-0.417049,51.880213,On or near Pedestrian Subway,E01033803,Luton 023A,Local resolution
7e1fad524c316a8527db95f7db686ded9ef3c775fee523a0145ae57b65ab1f77,2021-05,Bedfordshire Police,Bedfordshire Police,-0.480373,52.144892,On or near CLAPHAM ROAD,E01017499,Bedford 010C,Investigation complete; no suspect identified
2e67f083fb47b9f34441cf0787e959c398aaf8f8770f6003a5cbc518c76f1cfc,2021-05,Bedfordshire Police,Bedfordshire Police,-0.469637,52.119155,On or near HILLESDEN AVENUE,E01034432,Bedford 022B,Suspect charged
f8973f684b75d4a267be2217ea6c5530e90535e68c7e3610f01b6a8499ba3022,2021-05,Bedfordshire Police,Bedfordshire Police,-0.493484,51.904963,On or near PADDOCK CLOSE,E01015756,Luton 009A,Unable to prosecute suspect
d87d91c86d366ae5e5cb95192af7b63380a8f8b1e2cf83547571d2ec381338e5,2021-05,Bedfordshire Police,Bedfordshire Police,-0.416084,51.880380,On or near Shopping Area,E01033805,Luton 023C,Investigation complete; no suspect identified
4b9192957992ac484175bbeeb94165ab0237884702b3ee7af9ccc20b81ccb8b2,2021-05,Bedfordshire Police,Bedfordshire Police,-0.645231,51.916995,On or near Supermarket,E01017573,Central Bedfordshire 024A,Investigation complete; no suspect identified
25e36ec15edb7d1a12aac283885f150d55f51148e4f1e775f3990991cd33229b,2021-05,Bedfordshire Police,Bedfordshire Police,-0.461951,51.890582,On or near THIRLSTONE ROAD,E01015715,Luton 011C,Investigation complete; no suspect identified
68a8fb841f59ab14fd4c1ed2034542168b93e7309bd53d0f07c2bfb10f2dc694,2021-05,Bedfordshire Police,Bedfordshire Police,-0.478523,52.126724,On or near KEMPSTON ROAD,E01017506,Bedford 017B,Unable to prosecute suspect
6598d9b5c6c56ff2a1f42f7c323683cbba8694903bae6e0a5e5fdb41338ddfeb,2021-05,Bedfordshire Police,Bedfordshire Police,-0.451203,52.129713,On or near Supermarket,E01017519,Bedford 014B,Suspect charged
ac2d86657108b612dccad1034e54b19171e20f7c3615dfc4aca38816a0080ab7,2021-05,Bedfordshire Police,Bedfordshire Police,-0.485868,51.898454,On or near ANGUS CLOSE,E01015760,Luton 009E,Unable to prosecute suspect
4c12ec8301b832dc755adde83abb985782efa72cb09a8881a299fa3a1c53de05,2021-05,Bedfordshire Police,Bedfordshire Police,-0.416901,51.873242,On or near TAVISTOCK STREET,E01033807,Luton 021H,Unable to prosecute suspect
a5130e651a1d540aae424f613d3d667c149c17a5083738d68172cf24508f75ec,2021-05,Bedfordshire Police,Bedfordshire Police,-0.409390,51.905799,On or near HARVEY'S HILL,E01015697,Luton 007E,Unable to prosecute suspect
0194dd274d08938f353b11d205d17f0bd21ba198c495b1a75ce9a9cc6f758287,2021-05,Bedfordshire Police,Bedfordshire Police,-0.409390,51.905799,On or near HARVEY'S HILL,E01015697,Luton 007E,Unable to prosecute suspect
3db728f75c910701b429365abc2e133201ab2cb3a72cdba0469e33f5fc61da3d,2021-05,Bedfordshire Police,Bedfordshire Police,-0.451203,52.129713,On or near Supermarket,E01017519,Bedford 014B,Suspect charged
0b06d7921e9e536a51a320a19f9e3b75c392d2168d74d73a22c481ce58af2e24,2021-05,Bedfordshire Police,Bedfordshire Police,-0.486421,52.194970,On or near Prison,E01017478,Bedford 003A,Unable to prosecute suspect
499997c014c276364228d60c9b5c055dc107ea7d2acd3201e07abfc77fb3e73d,2021-05,Bedfordshire Police,Bedfordshire Police,-0.485868,51.898454,On or near ANGUS CLOSE,E01015760,Luton 009E,Unable to prosecute suspect
30d9bbd6d796835590a3d7c6faab7ad8ea2e7da22fc9bf30b40f2e7fee3c8fb3,2021-05,Bedfordshire Police,Bedfordshire Police,-0.439265,51.908662,On or near CAVALIER CLOSE,E01015768,Luton 006E,Investigation complete; no suspect identified
30c3c6fe1b802f4262a15f0d520dfb09c77cb03a64b947c7f77d82dca95edfd0,2021-05,Bedfordshire Police,Bedfordshire Police,-0.449761,52.124551,On or near Parking Area,E01017521,Bedford 014D,Unable to prosecute suspect
a7db2b1a358a261aea58cd8872afa930883cc66d45206a1e9092db7a1b613d64,2021-05,Bedfordshire Police,Bedfordshire Police,-0.671346,51.915017,On or near THE WHARF,E01017589,Central Bedfordshire 022A,Unable to prosecute suspect
76e8e737c7e51866c1d745d08d52be83a8f89008e412350004e0bb8fb2ffe18c,2021-05,Bedfordshire Police,Bedfordshire Police,,,No location,,,Unable to prosecute suspect
dfacfe18aa9f188952901f61370043cec38dccd2e1f1256687b64136e82586b0,2021-05,Bedfordshire Police,Bedfordshire Police,-0.417102,51.882407,On or near Pedestrian Subway,E01033805,Luton 023C,Unable to prosecute suspect
d7d68504f4374d94ad8c2d1905fef259d1da50b923c02a7beb571661a8bb674f,2021-05,Bedfordshire Police,Bedfordshire Police,-0.648894,51.908324,On or near DEVERELL WAY,E01033829,Central Bedfordshire 024I,Unable to prosecute suspect
6728609597eeb56a3ec6e0dd5431cc257907003e59b1e103caab4fd34b4bcfa4,2021-05,Bedfordshire Police,Bedfordshire Police,-0.399951,51.885466,On or near ABBOTS WOOD ROAD,E01015780,Luton 016E,Investigation complete; no suspect identified
3f949b894f2fa88847469c10fe6e87bf713cac526ad93fd0516dad1a3f089fbd,2021-05,Bedfordshire Police,Bedfordshire Police,-0.519752,51.903633,On or near WHITEHOUSE CLOSE,E01017581,Central Bedfordshire 026D,Investigation complete; no suspect identified
